model,obs,score
"Survival Tree, SMOTENC",750,0.882525276
"Random Survival Forest, unweighted",750,0.92767693
"Random Survival Forest, random oversampler",750,0.923713235
"Random Survival Forest, SMOTENC",750,0.919921875
Unweighted Cox PH,750,0.958390347
"Cox PH, Barlow weights",750,0.960256251
"Cox PH, Prentice weights",750,0.960007464
"Cox PH, Self-Prentice weights",750,0.959820873
"Cox PH Ridge, Barlow weights",750,0.960256251
"Cox PH Lasso, Barlow weights",750,0.960256251
"Cox PH Elastic Net, Barlow weights",750,0.960256251
"Survival Tree, unweighted",750,0.892212962
"Survival Tree, random oversampler",750,0.878405274
"Survival Tree, SMOTENC",750,0.860243811
"Random Survival Forest, unweighted",750,0.926359
"Random Survival Forest, random oversampler",750,0.916780694
"Random Survival Forest, SMOTENC",750,0.910871999
Unweighted Cox PH,750,0.961704987
"Cox PH, Barlow weights",750,0.956778143
"Cox PH, Prentice weights",750,0.956927441
"Cox PH, Self-Prentice weights",750,0.960883846
"Cox PH Ridge, Barlow weights",750,0.956778143
"Cox PH Lasso, Barlow weights",750,0.956778143
"Cox PH Elastic Net, Barlow weights",750,0.956778143
"Survival Tree, unweighted",750,0.853501045
"Survival Tree, random oversampler",750,0.888175575
"Survival Tree, SMOTENC",750,0.872126008
"Random Survival Forest, unweighted",750,0.901015228
"Random Survival Forest, random oversampler",750,0.896834876
"Random Survival Forest, SMOTENC",750,0.897581368
Unweighted Cox PH,750,0.965327665
"Cox PH, Barlow weights",750,0.965107755
"Cox PH, Prentice weights",750,0.965620877
"Cox PH, Self-Prentice weights",750,0.965254362
"Cox PH Ridge, Barlow weights",750,0.965107755
"Cox PH Lasso, Barlow weights",750,0.965107755
"Cox PH Elastic Net, Barlow weights",750,0.965107755
"Survival Tree, unweighted",750,0.910570298
"Survival Tree, random oversampler",750,0.895689782
"Survival Tree, SMOTENC",750,0.899098373
"Random Survival Forest, unweighted",750,0.944802815
"Random Survival Forest, random oversampler",750,0.939231784
"Random Survival Forest, SMOTENC",750,0.93285442
Unweighted Cox PH,750,0.971481619
"Cox PH, Barlow weights",750,0.966951355
"Cox PH, Prentice weights",750,0.967916821
"Cox PH, Self-Prentice weights",750,0.968733754
"Cox PH Ridge, Barlow weights",750,0.966951355
"Cox PH Lasso, Barlow weights",750,0.966951355
"Cox PH Elastic Net, Barlow weights",750,0.966951355
"Survival Tree, unweighted",750,0.912402525
"Survival Tree, random oversampler",750,0.879056814
"Survival Tree, SMOTENC",750,0.899405867
"Random Survival Forest, unweighted",750,0.95477163
"Random Survival Forest, random oversampler",750,0.944522837
"Random Survival Forest, SMOTENC",750,0.947344968
Unweighted Cox PH,750,0.962584424
"Cox PH, Barlow weights",750,0.961508577
"Cox PH, Prentice weights",750,0.961747654
"Cox PH, Self-Prentice weights",750,0.961807423
"Cox PH Ridge, Barlow weights",750,0.961508577
"Cox PH Lasso, Barlow weights",750,0.961508577
"Cox PH Elastic Net, Barlow weights",750,0.961508577
"Survival Tree, unweighted",750,0.904369135
"Survival Tree, random oversampler",750,0.887633734
"Survival Tree, SMOTENC",750,0.863636364
"Random Survival Forest, unweighted",750,0.919670074
"Random Survival Forest, random oversampler",750,0.904608212
"Random Survival Forest, SMOTENC",750,0.888948658
Unweighted Cox PH,750,0.970006206
"Cox PH, Barlow weights",750,0.970350962
"Cox PH, Prentice weights",750,0.970695718
"Cox PH, Self-Prentice weights",750,0.968075571
"Cox PH Ridge, Barlow weights",750,0.970350962
"Cox PH Lasso, Barlow weights",750,0.970350962
