,model,obs,score
282,"Survival Tree, SMOTENC",750,0.0633768477712564
283,"Random Survival Forest, unweighted",750,0.0546377655117534
284,"Random Survival Forest, random oversampler",750,0.0453784034153773
285,"Random Survival Forest, SMOTENC",750,0.0505872963426137
286,Unweighted Cox PH,750,0.1087101055465268
287,"Cox PH, Barlow weights",750,0.0965636535246087
288,"Cox PH, Prentice weights",750,0.0985784133101593
289,"Cox PH, Self-Prentice weights",750,0.0783284687629511
290,"Cox PH Ridge, Barlow weights",750,0.1069027073002208
291,"Cox PH Lasso, Barlow weights",750,0.0965636535246087
292,"Cox PH Elastic Net, Barlow weights",750,0.0965636535246087
293,"Survival Tree, unweighted",750,0.0623785016477514
294,"Survival Tree, random oversampler",750,0.0601688175683921
295,"Survival Tree, SMOTENC",750,0.0597243295584474
296,"Random Survival Forest, unweighted",750,0.0501252826091367
297,"Random Survival Forest, random oversampler",750,0.0431354270311877
298,"Random Survival Forest, SMOTENC",750,0.0460941639881438
299,Unweighted Cox PH,750,0.1134500174116428
300,"Cox PH, Barlow weights",750,0.1073996655168922
301,"Cox PH, Prentice weights",750,0.100957567734688
302,"Cox PH, Self-Prentice weights",750,0.1017297696556184
303,"Cox PH Ridge, Barlow weights",750,0.1073996655168922
304,"Cox PH Lasso, Barlow weights",750,0.1073996655168922
305,"Cox PH Elastic Net, Barlow weights",750,0.1073996655168922
306,"Survival Tree, unweighted",750,0.0574801912831941
307,"Survival Tree, random oversampler",750,0.0588167972527569
308,"Survival Tree, SMOTENC",750,0.0681308845346684
309,"Random Survival Forest, unweighted",750,0.0510899169716513
310,"Random Survival Forest, random oversampler",750,0.0421523214498202
311,"Random Survival Forest, SMOTENC",750,0.0501018588298693
312,Unweighted Cox PH,750,0.1089780804949634
313,"Cox PH, Barlow weights",750,0.0993529477857436
314,"Cox PH, Prentice weights",750,0.1009182326153534
315,"Cox PH, Self-Prentice weights",750,0.0878186988033387
316,"Cox PH Ridge, Barlow weights",750,0.0993529477857436
317,"Cox PH Lasso, Barlow weights",750,0.0993529477857436
318,"Cox PH Elastic Net, Barlow weights",750,0.0993529477857436
319,"Survival Tree, unweighted",750,0.0491509890664504
320,"Survival Tree, random oversampler",750,0.0507638780111789
